iter	RMSE
0	301.4793427
1	290.5683343
2	279.9165869
3	270.850042
4	261.9234974
5	253.8573513
6	246.6755502
7	239.5811429
8	233.3274323
9	227.7272358
10	222.3163513
11	217.4609831
12	213.0321256
13	209.1239286
14	205.3641989
15	202.1314326
16	199.0948521
17	196.1808144
18	193.7138972
19	191.4449895
20	189.3593302
21	187.4078485
22	185.8602211
23	184.1223102
24	182.4848811
25	180.8084172
26	179.3987702
27	178.3761481
28	177.4041372
29	176.4865079
30	175.4602566
31	174.1541743
32	173.3173444
33	172.700971
34	172.053726
35	171.3487647
36	170.3530178
37	169.80015
38	169.116304
39	168.5972058
40	167.9949157
41	167.1404017
42	166.6866399
43	166.2207452
44	165.8054822
45	165.1117738
46	164.7768826
47	164.3507532
48	164.0689063
49	163.3456806
50	162.895502
51	162.5809946
52	162.063509
53	161.7296406
54	161.3840009
55	161.0856438
56	160.8430898
57	160.2966705
58	160.0465981
59	159.6092581
60	158.9555672
61	158.6616481
62	158.2750688
63	158.0357391
64	157.710382
65	157.2802059
66	156.8636382
67	156.6149201
68	156.372977
69	156.199267
70	155.8232623
71	155.5161806
72	155.0815094
73	154.8051975
74	154.3954847
75	154.1558793
76	153.9232939
77	153.7156847
78	153.2550785
79	152.8620503
80	152.7182484
81	152.3553783
82	152.0546953
83	151.9139438
84	151.6861319
85	151.4806913
86	151.3894489
87	151.1879157
88	150.8476006
89	150.7304955
90	150.5841458
91	150.3769265
92	150.2825547
93	150.11585
94	150.0296534
95	149.8056913
96	149.6548344
97	149.5690348
98	149.2578409
99	148.9200357
100	148.6876444
101	148.4105833
102	148.0757419
103	147.9477608
104	147.6770653
105	147.4223793
106	147.3507027
107	147.1433645
108	147.0149831
109	146.7874083
110	146.5709812
111	146.5025095
112	146.2571182
113	146.1130286
114	145.9206261
115	145.6746153
116	145.5179648
117	145.2837749
118	145.1622542
119	144.987971
120	144.8455705
121	144.6299487
122	144.5795077
123	144.3729314
124	144.2285602
125	144.0209827
126	143.8181802
127	143.7132768
128	143.5836461
129	143.4026543
130	143.2185879
131	143.0480133
132	142.9643954
133	142.8744126
134	142.7710808
135	142.6537365
136	142.4966544
137	142.3597505
138	142.1299472
139	141.9298516
140	141.7088823
141	141.4527134
142	141.208046
143	141.0504581
144	140.8624737
145	140.5942261
146	140.2913522
147	140.1733809
148	140.0088032
149	139.8100581
150	139.699367
151	139.5236848
152	139.3756509
153	139.2011469
154	139.0673039
155	138.8427653
156	138.721699
157	138.5699558
158	138.3534857
159	138.2204474
160	138.0315998
161	137.8051629
162	137.6502849
163	137.4315512
164	137.305653
165	137.1026624
166	136.9445978
167	136.8565158
168	136.5891891
169	136.377374
170	136.2345442
171	136.1660979
172	135.9790699
173	135.6993354
174	135.6359435
175	135.4838453
176	135.3971213
177	135.3342604
178	135.09014
179	134.9598089
180	134.8069737
181	134.748643
182	134.7001217
183	134.6095836
184	134.3620254
185	134.2465736
186	134.1777581
187	134.0173327
188	133.9505582
189	133.7926939
190	133.6493723
191	133.5074674
192	133.4400633
193	133.3064538
194	133.2315359
195	133.1154506
196	132.9753539
197	132.8566198
198	132.714702
199	132.5961915
200	132.4913263
201	132.3010919
202	132.1674066
203	132.0560779
204	131.9304924
205	131.8381899
206	131.6731313
207	131.6124735
208	131.4995999
209	131.4430031
210	131.3655424
211	131.2962009
212	131.1491049
213	131.0204435
214	130.8731863
215	130.7446449
216	130.6105235
217	130.5248958
218	130.4137156
219	130.3532551
220	130.1348131
221	129.9998727
222	129.8676997
223	129.727689
224	129.62194
225	129.5173927
226	129.3893034
227	129.285863
228	129.1539737
229	129.0621799
230	128.9616377
231	128.7988836
232	128.6845707
233	128.6330163
234	128.5100004
235	128.3547074
236	128.2550437
237	128.1264684
238	128.0168108
239	127.9149712
240	127.8071675
241	127.7004678
242	127.5617026
243	127.4973344
244	127.4231838
245	127.3825203
246	127.2419443
247	127.1411353
248	127.0537668
249	126.9671708
250	126.9294076
251	126.842865
252	126.7692783
253	126.6764286
254	126.5242764
255	126.4860003
256	126.3301513
257	126.1768152
258	126.1322416
259	126.0402465
260	125.9960966
261	125.9163381
262	125.7824022
263	125.7253065
264	125.5922533
265	125.4700925
266	125.3739315
267	125.2771522
268	125.1768964
269	125.0308724
270	124.9071145
271	124.8196833
272	124.7434376
273	124.6377946
274	124.5133511
275	124.464398
276	124.3855282
277	124.3094619
278	124.2197801
279	124.1588394
280	124.0333057
281	123.9693066
282	123.8692422
283	123.7692226
284	123.708366
285	123.6197443
286	123.5285437
287	123.4511212
288	123.3765841
289	123.3362242
290	123.2649855
291	123.1911355
292	123.1439409
293	123.0646618
294	122.9734212
295	122.8995924
296	122.7965748
297	122.7149367
298	122.6647302
299	122.5908334
300	122.5474977
301	122.4898328
302	122.4276148
303	122.3590061
304	122.2503599
305	122.2168653
306	122.1526808
307	122.0723812
308	122.0057297
309	121.9316072
310	121.9095862
311	121.8714737
312	121.85396
313	121.7906613
314	121.7367417
315	121.6867805
316	121.5445979
317	121.4867323
318	121.3698663
319	121.2896924
320	121.2270163
321	121.1578832
322	121.0941119
323	121.01354
324	120.9721742
325	120.9514025
326	120.9016772
327	120.8203494
328	120.7041433
329	120.5885161
330	120.5596439
331	120.5292553
332	120.4269795
333	120.3870061
334	120.2849354
335	120.2573426
336	120.1765968
337	120.1328278
338	120.0154862
339	119.9291228
340	119.8723938
341	119.8382324
342	119.7179098
343	119.6840199
344	119.5914866
345	119.5359287
346	119.4664663
347	119.3964917
348	119.3441207
349	119.2933579
350	119.2029716
351	119.1076011
352	119.0321602
353	118.9616606
354	118.9018857
355	118.8161888
356	118.6955556
357	118.6254725
358	118.5928635
359	118.516388
360	118.4467788
361	118.3484418
362	118.2507209
363	118.1975487
364	118.1369165
365	118.0983515
366	118.015335
367	117.9655709
368	117.9346562
369	117.8745828
370	117.7701073
371	117.7154483
372	117.6668401
373	117.6166798
374	117.5593052
375	117.490865
376	117.4136576
377	117.3219595
378	117.2541744
379	117.2010129
380	117.1209907
381	117.0548611
382	117.0035282
383	116.9187496
384	116.8546724
385	116.765695
386	116.6973165
387	116.6153015
388	116.5395246
389	116.5113829
390	116.4226664
391	116.3339164
392	116.255796
393	116.2025661
394	116.1786232
395	116.1062124
396	116.0201878
397	115.9414498
398	115.8622834
399	115.8325007
400	115.7913433
401	115.7490525
402	115.6864746
403	115.6438465
404	115.5465784
405	115.4798648
406	115.4394887
407	115.3958448
408	115.3223479
409	115.2063316
410	115.1501833
411	115.1138888
412	115.066575
413	115.0420151
414	114.9456678
415	114.8659906
416	114.807286
417	114.74775
418	114.689307
419	114.6621922
420	114.6147822
421	114.5474578
422	114.4948431
423	114.4468698
424	114.4061765
425	114.3421562
426	114.2834724
427	114.210608
428	114.1233772
429	114.0631199
430	114.0270073
431	113.9367902
432	113.8687404
433	113.8130826
434	113.7829369
435	113.7522822
436	113.7057444
437	113.6647586
438	113.6009288
439	113.5346833
440	113.4706142
441	113.3854529
442	113.3137247
443	113.249121
444	113.1968142
445	113.1419838
446	113.062065
447	113.0032525
448	112.8992188
449	112.8332483
450	112.7821617
451	112.758221
452	112.7145071
453	112.6606617
454	112.5970728
455	112.558632
456	112.4862342
457	112.4316202
458	112.3650044
459	112.3426201
460	112.2854885
461	112.2335717
462	112.1759251
463	112.1471147
464	112.0983034
465	112.0482658
466	112.0010007
467	111.96123
468	111.9416459
469	111.8963847
470	111.8345462
471	111.8076398
472	111.7669126
473	111.6799562
474	111.6545083
475	111.6144328
476	111.555042
477	111.4513255
478	111.3786598
479	111.3149314
480	111.2523438
481	111.2006521
482	111.1545001
483	111.0919657
484	111.0309727
485	110.9725708
486	110.9515866
487	110.9260167
488	110.8846821
489	110.8252442
490	110.744464
491	110.7134271
492	110.6674319
493	110.6487135
494	110.6091966
495	110.5334126
496	110.5174519
497	110.4830891
498	110.4168269
499	110.4022657
500	110.3639991
501	110.3374144
502	110.2828554
503	110.2338965
504	110.1662414
505	110.0793543
506	110.0628016
507	110.0306361
508	109.9555967
509	109.9034205
510	109.8503931
511	109.8148121
512	109.7641063
513	109.7181111
514	109.70391
515	109.6359056
516	109.6067093
517	109.5391176
518	109.5162161
519	109.4824298
520	109.4446317
521	109.3890573
522	109.2889438
523	109.2130948
524	109.1732528
525	109.1236977
526	109.1005546
527	109.0436091
528	108.9876958
529	108.9369087
530	108.8890165
531	108.8731043
532	108.8224192
533	108.7562007
534	108.7032964
535	108.6565767
536	108.5877491
537	108.5118876
538	108.4706461
539	108.4170288
540	108.3604113
541	108.3236451
542	108.2970788
543	108.2719527
544	108.2419811
545	108.2235799
546	108.1922938
547	108.1336559
548	108.0976898
549	108.0590342
550	107.9664983
551	107.9092321
552	107.8668057
553	107.8287284
554	107.7682157
555	107.7136656
556	107.6581762
557	107.6436474
558	107.5786893
559	107.5443861
560	107.504212
561	107.4506662
562	107.3925801
563	107.3345786
564	107.2848896
565	107.2462558
566	107.214703
567	107.1633715
568	107.1376515
569	107.0585085
570	107.0471436
571	107.0357178
572	106.9852958
573	106.8989558
574	106.8317955
575	106.7787781
576	106.728587
577	106.6800455
578	106.6186935
579	106.5831018
580	106.5344884
581	106.5115603
582	106.4828536
583	106.4449119
584	106.3914909
585	106.3475698
586	106.307171
587	106.2823291
588	106.2446034
589	106.1841494
590	106.1255355
591	106.0735782
592	106.04961
593	106.0268138
594	105.9987104
595	105.9727361
596	105.9433129
597	105.9130463
598	105.8939984
599	105.8669487
600	105.8187032
601	105.7978555
602	105.7297587
603	105.6762002
604	105.6506799
605	105.6161604
606	105.5767078
607	105.5419538
608	105.4882466
609	105.4191291
610	105.395137
611	105.3344338
612	105.2889299
613	105.2523214
614	105.2114657
615	105.1525043
616	105.0977834
617	105.0688468
618	105.0206114
619	104.9591669
620	104.9122358
621	104.8744304
622	104.8275999
623	104.7803014
624	104.7448213
625	104.6717134
626	104.628889
627	104.5966244
628	104.5543728
629	104.5402881
630	104.4978332
631	104.4567472
632	104.4278455
633	104.3951732
634	104.357254
635	104.3162782
636	104.2765201
