iter	Passed	Remaining
0	60	60366
1	63	31544
2	66	22079
3	69	17327
4	72	14369
5	74	12358
6	77	11028
7	80	9958
8	82	9111
9	85	8504
10	88	7963
11	90	7488
12	94	7142
13	96	6802
14	99	6523
15	102	6288
16	104	6053
17	108	5902
18	110	5711
19	113	5541
20	116	5418
21	118	5270
22	120	5137
23	124	5073
24	131	5123
25	134	5020
26	136	4911
27	139	4853
28	142	4759
29	150	4871
30	159	4986
31	167	5054
32	173	5072
33	175	4984
34	184	5073
35	190	5092
36	198	5165
37	203	5157
38	207	5100
39	211	5081
40	221	5182
41	231	5275
42	237	5286
43	239	5213
44	249	5304
45	255	5289
46	264	5366
47	269	5349
48	274	5327
49	282	5366
50	293	5457
51	300	5482
52	303	5419
53	306	5366
54	308	5306
55	311	5247
56	314	5207
57	317	5149
58	319	5097
59	322	5046
60	325	5007
61	328	4969
62	330	4919
63	332	4870
64	336	4834
65	338	4788
66	340	4744
67	343	4711
68	346	4669
69	348	4627
70	351	4596
71	353	4557
72	356	4530
73	361	4527
74	367	4527
75	371	4519
76	375	4502
77	380	4494
78	382	4459
79	384	4424
80	387	4391
81	390	4375
82	393	4348
83	396	4324
84	398	4293
85	401	4262
86	403	4233
87	405	4204
88	408	4176
89	410	4149
90	412	4121
91	414	4095
92	417	4069
93	419	4044
94	422	4023
95	426	4018
96	429	3999
97	433	3990
98	436	3970
99	438	3947
100	441	3932
101	444	3910
102	446	3888
103	448	3866
104	451	3844
105	453	3824
106	455	3803
107	457	3782
108	460	3763
109	462	3743
110	465	3725
111	467	3709
112	470	3689
113	472	3671
114	475	3658
115	477	3640
116	479	3622
117	482	3608
118	484	3590
119	487	3573
120	490	3560
121	493	3553
122	497	3549
123	503	3554
124	507	3550
125	509	3534
126	512	3521
127	515	3510
128	518	3501
129	521	3491
130	524	3476
131	526	3461
132	529	3450
133	531	3435
134	534	3426
135	538	3418
136	540	3405
137	543	3392
138	546	3385
139	549	3376
140	553	3370
141	555	3358
142	558	3346
143	561	3339
144	564	3327
145	568	3325
146	571	3314
147	573	3301
148	576	3294
149	579	3282
150	582	3277
151	585	3268
152	588	3255
153	591	3249
154	593	3237
155	596	3229
156	601	3227
157	603	3216
158	606	3209
159	609	3201
160	612	3191
161	616	3191
162	619	3180
163	622	3174
164	625	3163
165	627	3152
166	633	3161
167	636	3151
168	640	3151
169	643	3141
170	648	3142
171	651	3135
172	656	3136
173	659	3132
174	666	3139
175	670	3138
176	674	3134
177	679	3138
178	683	3136
179	688	3135
180	692	3132
181	698	3138
182	702	3137
183	706	3135
184	712	3138
185	717	3138
186	720	3133
187	725	3132
188	737	3163
189	741	3162
190	746	3162
191	753	3170
192	761	3185
193	764	3176
194	767	3169
195	773	3173
196	784	3196
197	789	3196
198	794	3197
199	799	3197
200	803	3193
201	807	3190
202	813	3193
203	817	3190
204	822	3189
205	828	3192
206	832	3187
207	835	3183
208	839	3178
209	845	3181
210	849	3175
211	853	3173
212	859	3175
213	863	3172
214	868	3169
215	871	3164
216	880	3178
217	889	3189
218	896	3197
219	902	3198
220	908	3202
221	912	3199
222	917	3197
223	924	3201
224	934	3218
225	938	3215
226	943	3213
227	949	3215
228	954	3214
229	959	3213
230	964	3210
231	968	3205
232	984	3240
233	991	3247
234	996	3243
235	1000	3238
236	1004	3233
237	1008	3227
238	1010	3218
239	1013	3208
240	1016	3200
241	1021	3199
242	1024	3192
243	1029	3189
244	1033	3184
245	1037	3178
246	1041	3173
247	1044	3165
248	1047	3159
249	1052	3156
250	1056	3151
251	1060	3148
252	1065	3145
253	1069	3140
254	1074	3138
255	1078	3135
256	1082	3130
257	1087	3126
258	1091	3124
259	1095	3119
260	1099	3112
261	1104	3109
262	1108	3106
263	1113	3103
264	1118	3101
265	1123	3101
266	1132	3110
267	1140	3115
268	1144	3110
269	1149	3108
270	1156	3109
271	1161	3107
272	1165	3103
273	1173	3108
274	1177	3104
275	1183	3105
276	1187	3099
277	1192	3097
278	1196	3092
279	1202	3091
280	1206	3088
281	1211	3085
282	1217	3083
283	1221	3078
284	1227	3079
285	1235	3085
286	1240	3082
287	1244	3076
288	1250	3076
289	1255	3073
290	1259	3069
291	1272	3085
292	1275	3078
293	1279	3073
294	1285	3071
295	1289	3067
296	1293	3062
297	1299	3060
298	1303	3056
299	1312	3062
300	1325	3077
301	1341	3099
302	1361	3132
303	1378	3157
304	1412	3218
305	1425	3233
306	1432	3234
307	1439	3233
308	1441	3223
309	1448	3224
310	1454	3223
311	1457	3214
312	1459	3204
313	1464	3198
314	1466	3189
315	1471	3184
316	1473	3174
317	1475	3165
318	1479	3159
319	1482	3149
320	1486	3145
321	1494	3147
322	1497	3138
323	1500	3130
324	1503	3121
325	1505	3112
326	1508	3105
327	1511	3097
328	1514	3088
329	1517	3080
330	1519	3071
331	1522	3062
332	1525	3054
333	1528	3047
334	1531	3040
335	1533	3031
336	1536	3022
337	1538	3014
338	1541	3005
339	1544	2998
340	1548	2991
341	1550	2982
342	1552	2974
343	1555	2966
344	1559	2959
345	1561	2951
346	1564	2944
347	1566	2935
348	1569	2926
349	1572	2920
350	1575	2913
351	1578	2906
352	1581	2897
353	1583	2889
354	1585	2881
355	1588	2873
356	1592	2867
357	1595	2861
358	1597	2852
359	1600	2844
360	1603	2838
361	1606	2831
362	1609	2824
363	1612	2817
364	1614	2809
365	1617	2802
366	1619	2794
367	1622	2786
368	1626	2780
369	1628	2772
370	1630	2765
371	1633	2758
372	1636	2750
373	1639	2743
374	1642	2737
375	1644	2729
376	1647	2721
377	1650	2715
378	1652	2707
379	1656	2702
380	1658	2695
381	1661	2687
382	1663	2680
383	1666	2673
384	1668	2665
385	1673	2661
386	1675	2653
387	1678	2646
388	1681	2640
389	1683	2633
390	1687	2628
391	1690	2621
392	1692	2614
393	1695	2608
394	1698	2600
395	1700	2594
396	1704	2589
397	1707	2582
398	1711	2577
399	1713	2570
400	1715	2563
401	1720	2558
402	1722	2551
403	1724	2544
404	1727	2538
405	1730	2531
406	1732	2524
407	1736	2519
408	1738	2512
409	1741	2506
410	1743	2499
411	1746	2491
412	1748	2485
413	1751	2479
414	1753	2472
415	1756	2465
416	1759	2459
417	1761	2452
418	1763	2445
419	1766	2439
420	1768	2432
421	1771	2425
422	1774	2420
423	1776	2413
424	1778	2406
425	1781	2400
426	1784	2395
427	1787	2389
428	1790	2382
429	1792	2376
430	1794	2369
431	1797	2363
432	1799	2356
433	1802	2351
434	1805	2344
435	1807	2337
436	1809	2331
